iter	Passed	Remaining
627	2218	1313
628	2221	1310
629	2225	1306
630	2228	1303
631	2232	1299
632	2235	1296
633	2238	1292
634	2242	1288
635	2245	1285
636	2249	1281
637	2252	1277
638	2256	1274
639	2260	1271
640	2263	1267
641	2266	1263
642	2269	1259
643	2272	1256
644	2275	1252
645	2279	1248
646	2282	1245
647	2285	1241
648	2289	1238
649	2294	1235
650	2298	1232
651	2302	1228
652	2305	1225
653	2310	1222
654	2313	1218
655	2317	1215
656	2320	1211
657	2324	1208
658	2328	1204
659	2332	1201
660	2335	1198
661	2339	1194
662	2343	1191
663	2347	1188
664	2351	1184
665	2354	1180
666	2357	1176
667	2360	1173
668	2364	1169
669	2367	1166
670	2371	1162
671	2374	1159
672	2379	1156
673	2382	1152
674	2386	1149
675	2391	1146
676	2395	1142
677	2399	1139
678	2403	1136
679	2407	1132
680	2411	1129
681	2414	1126
682	2419	1123
683	2423	1119
684	2428	1116
685	2432	1113
686	2435	1109
687	2439	1106
688	2444	1103
689	2448	1099
690	2451	1096
691	2455	1092
692	2459	1089
693	2463	1086
694	2467	1082
695	2470	1079
696	2474	1075
697	2478	1072
698	2482	1069
699	2486	1065
700	2490	1062
701	2493	1058
702	2497	1055
703	2502	1052
704	2505	1048
705	2509	1044
706	2512	1041
707	2516	1037
708	2519	1034
709	2522	1030
710	2526	1026
711	2529	1023
712	2532	1019
713	2536	1015
714	2540	1012
715	2543	1008
716	2547	1005
717	2551	1002
718	2554	998
719	2559	995
720	2563	991
721	2566	988
722	2570	984
723	2573	981
724	2577	977
725	2580	973
726	2583	970
727	2587	966
728	2590	962
729	2593	959
730	2596	955
731	2600	952
732	2604	948
733	2607	945
734	2611	941
735	2614	937
736	2618	934
737	2622	930
738	2625	927
739	2629	923
740	2632	920
741	2637	916
742	2640	913
743	2644	909
744	2647	906
745	2650	902
746	2654	898
747	2657	895
748	2661	891
749	2664	888
750	2667	884
751	2671	880
752	2674	877
753	2678	873
754	2681	870
755	2684	866
756	2687	862
757	2691	859
758	2694	855
759	2698	852
760	2702	848
761	2706	845
762	2709	841
763	2713	838
764	2716	834
765	2719	830
766	2723	827
767	2726	823
768	2730	820
769	2733	816
770	2736	812
771	2739	809
772	2742	805
773	2746	801
774	2749	798
775	2752	794
776	2756	791
777	2760	787
778	2764	784
779	2767	780
780	2770	776
781	2774	773
782	2777	769
783	2780	766
784	2784	762
785	2787	758
786	2790	755
787	2793	751
788	2796	747
789	2800	744
790	2804	740
791	2807	737
792	2811	733
793	2814	730
794	2818	726
795	2821	723
796	2825	719
797	2828	716
798	2832	712
799	2836	709
800	2839	705
801	2843	701
802	2846	698
803	2849	694
804	2852	691
805	2856	687
806	2859	683
807	2862	680
808	2866	676
809	2869	673
810	2872	669
811	2876	665
812	2879	662
813	2883	658
814	2886	655
815	2889	651
816	2892	647
817	2896	644
818	2899	640
819	2902	637
820	2906	633
821	2909	630
822	2913	626
823	2916	623
824	2920	619
825	2924	616
826	2927	612
827	2931	608
828	2935	605
829	2938	601
830	2941	598
831	2944	594
832	2948	591
833	2951	587
834	2954	583
835	2957	580
836	2961	576
837	2964	573
838	2967	569
839	2971	565
840	2974	562
841	2977	558
842	2981	555
843	2984	551
844	2987	548
845	2992	544
846	2995	541
847	2999	537
848	3002	534
849	3006	530
850	3010	527
851	3014	523
852	3017	520
853	3023	516
854	3028	513
855	3032	510
856	3035	506
857	3039	502
858	3042	499
859	3045	495
860	3049	492
861	3052	488
862	3056	485
863	3059	481
864	3062	478
865	3066	474
866	3069	470
867	3072	467
868	3076	463
869	3080	460
870	3083	456
871	3087	453
872	3090	449
873	3094	446
874	3097	442
875	3100	438
876	3103	435
877	3106	431
878	3110	428
879	3113	424
880	3116	420
881	3120	417
882	3123	413
883	3126	410
884	3130	406
885	3133	403
886	3136	399
887	3139	396
888	3143	392
889	3146	388
890	3149	385
891	3152	381
892	3155	378
893	3158	374
894	3161	370
895	3164	367
896	3167	363
897	3170	360
898	3174	356
899	3177	353
900	3180	349
901	3183	345
902	3186	342
903	3189	338
904	3192	335
905	3195	331
906	3198	327
907	3201	324
908	3204	320
909	3207	317
910	3211	313
911	3214	310
912	3217	306
913	3221	303
914	3224	299
915	3227	296
916	3231	292
917	3234	288
918	3237	285
919	3241	281
920	3244	278
921	3248	274
922	3251	271
923	3255	267
924	3258	264
925	3261	260
926	3264	257
927	3267	253
928	3271	250
929	3274	246
930	3278	242
931	3281	239
932	3284	235
933	3287	232
934	3290	228
935	3293	225
936	3296	221
937	3300	218
938	3303	214
939	3307	211
940	3311	207
941	3314	204
942	3317	200
943	3320	196
944	3324	193
945	3327	189
946	3330	186
947	3334	182
948	3338	179
949	3341	175
950	3345	172
951	3348	168
952	3352	165
953	3355	161
954	3359	158
955	3362	154
956	3365	151
957	3369	147
958	3372	144
959	3375	140
960	3378	137
961	3381	133
962	3385	130
963	3389	126
964	3392	123
965	3395	119
966	3398	115
967	3401	112
968	3405	108
969	3408	105
970	3411	101
971	3415	98
972	3419	94
973	3423	91
974	3426	87
975	3429	84
976	3433	80
977	3436	77
978	3440	73
979	3443	70
980	3447	66
981	3450	63
982	3453	59
983	3457	56
984	3460	52
985	3463	49
986	3467	45
987	3470	42
988	3474	38
989	3478	35
990	3481	31
991	3484	28
992	3488	24
993	3492	21
994	3496	17
995	3499	14
996	3502	10
997	3506	7
998	3509	3
999	3512	0
