iter	Logloss
0	0.6768437418
1	0.6617941476
2	0.6468356552
3	0.633757712
4	0.622153938
5	0.6109039899
6	0.6008118879
7	0.5918800703
8	0.5832711392
9	0.5752782974
10	0.5680155931
11	0.561443058
12	0.5548792035
13	0.5487517648
14	0.5427901028
15	0.537399383
16	0.532334191
17	0.527366986
18	0.5234317042
19	0.519414163
20	0.5154475335
21	0.5115070223
22	0.5079962163
23	0.5051580542
24	0.5017714723
25	0.498702544
26	0.4957186566
27	0.4929786662
28	0.4901889234
29	0.4876944224
30	0.485523359
31	0.4833757801
32	0.4814420543
33	0.4796185367
34	0.4775010267
35	0.4755220869
36	0.4736837033
37	0.4717561364
38	0.4698908345
39	0.4683783033
40	0.4666220837
41	0.4651348127
42	0.4638444166
43	0.4623277664
44	0.4606947492
45	0.4592599938
46	0.4579780683
47	0.4568731678
48	0.4557018497
49	0.4543922838
50	0.453334906
51	0.4521295812
52	0.4510793272
53	0.4499983287
54	0.4491346693
55	0.4481578537
56	0.4470862232
57	0.4461171543
58	0.4453627217
59	0.4444268422
60	0.4435883782
61	0.4427752909
62	0.4419770619
63	0.4411875372
64	0.4403562249
65	0.4396064072
66	0.4387987024
67	0.4380456933
68	0.4373226295
69	0.4365705951
70	0.4358615053
71	0.4351912077
72	0.4344631902
73	0.4338714255
74	0.4331974855
75	0.4326586925
76	0.4320625156
77	0.431477305
78	0.4308340787
79	0.4302295776
80	0.4297375123
81	0.4290777499
82	0.4284247445
83	0.4278834145
84	0.427409014
85	0.4268555607
86	0.4263530469
87	0.425780964
88	0.4252836606
89	0.4247411274
90	0.4242434941
91	0.4238447358
92	0.423460032
93	0.4229483351
94	0.4224870901
95	0.4220427236
96	0.421643933
97	0.4212221078
98	0.4207967328
99	0.420373891
100	0.4199004291
101	0.4194480754
102	0.4189954059
103	0.4185914178
104	0.4181833421
105	0.4178243534
106	0.4174618668
107	0.4171420934
108	0.4167537926
109	0.4164112737
110	0.4159975405
111	0.4155774545
112	0.4151971767
113	0.4148538933
114	0.414577696
115	0.4142930051
116	0.4139278575
117	0.4136083778
118	0.413303594
119	0.4129710656
120	0.4126151631
121	0.4123155045
122	0.4120358042
123	0.41175469
124	0.4114040594
125	0.4110497123
126	0.4106377691
127	0.4103274708
128	0.409994827
129	0.4097120923
130	0.4094306207
131	0.4091157952
132	0.4088271796
133	0.4085375686
134	0.4082975038
135	0.407967666
136	0.4077161238
137	0.4073904077
138	0.4071807767
139	0.4069242754
140	0.4066574519
141	0.4063735549
142	0.4060877884
143	0.4058606935
144	0.405579876
145	0.4053573981
146	0.4051047165
147	0.4048255399
148	0.4046658003
149	0.4043960397
150	0.4041355701
151	0.4039115871
152	0.4036895499
153	0.4034254225
154	0.4031527438
155	0.4028866359
156	0.4026709996
157	0.402466514
158	0.4022638169
159	0.4020548216
160	0.4017799388
161	0.4015900657
162	0.4013256077
163	0.4011229557
164	0.4008589887
165	0.4006281543
166	0.4004360279
167	0.4002719366
168	0.4000800296
169	0.3998729604
170	0.3996439021
171	0.3994262544
172	0.3992228806
173	0.3990129193
174	0.3987920524
175	0.3985686303
176	0.3983886048
177	0.3982153784
178	0.3979563647
179	0.397752608
180	0.3975315234
181	0.3972816032
182	0.397090654
183	0.3969236358
184	0.3967087147
185	0.3965061666
186	0.3962832131
187	0.3961239875
188	0.3959102369
189	0.3957524025
190	0.3955288384
191	0.3953817728
192	0.3951991471
193	0.3949427976
194	0.3947769191
195	0.394573983
196	0.394375114
197	0.3941539968
198	0.393961634
199	0.3937554203
200	0.3935966611
201	0.3934432221
202	0.3932712113
203	0.3931019255
204	0.3929311382
205	0.3927533435
206	0.392574712
207	0.3924022334
208	0.3922363497
209	0.3920625018
210	0.3919148117
211	0.3917633512
212	0.3916066538
213	0.3914258436
214	0.3912257437
215	0.3910986352
216	0.3909590539
217	0.390792105
218	0.3906169123
219	0.390433278
220	0.3902746699
221	0.3901219952
222	0.3899549269
223	0.3897808126
224	0.3896041038
225	0.3894190539
226	0.3892367563
227	0.3890989347
228	0.3889556666
229	0.3887723259
230	0.3885801491
231	0.3883884701
232	0.388251495
233	0.3880841469
234	0.38789369
235	0.387767375
236	0.3876031658
237	0.3874165668
238	0.3872392906
239	0.3871016381
240	0.386946427
241	0.3867991036
242	0.3866426271
243	0.3865197399
244	0.3863400104
245	0.3861144884
246	0.385956786
247	0.3857701242
248	0.3855523993
249	0.3853795868
250	0.3852642449
251	0.3850856016
252	0.3849117142
253	0.384756158
254	0.3845211858
255	0.3843259817
256	0.3841512136
257	0.3840346092
258	0.3838674397
259	0.3836995623
260	0.3834909849
261	0.3833362052
262	0.3831233619
263	0.3829434838
264	0.3827625359
265	0.3826364993
266	0.3824866198
267	0.382342006
268	0.3821675149
269	0.3819790423
270	0.381819493
271	0.3816376153
272	0.3814734089
273	0.3813271667
274	0.3811627375
275	0.3810048981
276	0.3808437009
277	0.3806640084
278	0.3804684538
279	0.3802728943
280	0.3800856962
281	0.3799435086
282	0.3797502829
283	0.3796081534
284	0.379448345
285	0.3792806882
286	0.3791382402
287	0.3789697377
288	0.3788422621
289	0.3787068288
290	0.3785166193
291	0.378353354
292	0.3781365892
293	0.3779679687
294	0.377790285
295	0.3776454316
296	0.3774718356
297	0.3773154407
298	0.3771587996
299	0.3769965489
300	0.3768455482
301	0.3766886543
302	0.3765414359
303	0.3763379717
304	0.3761528535
305	0.375963785
306	0.3758201552
307	0.3756492975
308	0.3754710262
309	0.3753043656
310	0.37509086
311	0.3749471303
312	0.3747790339
313	0.3746278864
314	0.3744458046
315	0.3743472854
316	0.3741762422
317	0.3739765971
318	0.373853484
319	0.373674248
320	0.3735121475
321	0.3733626084
322	0.3732117213
323	0.3730646742
324	0.3729127428
325	0.3727752411
326	0.3726330897
327	0.3724326861
328	0.3722575896
329	0.3720836262
330	0.3718993507
331	0.3717536478
332	0.371554427
333	0.3713570635
334	0.3711966158
335	0.3709959901
336	0.3708150183
337	0.370601719
338	0.3704428077
339	0.3702572386
340	0.370057252
341	0.3699022672
342	0.36976258
343	0.3696061416
344	0.369436621
345	0.3693012346
346	0.3691351379
347	0.3689486603
348	0.3687632602
349	0.3686589428
350	0.3684963297
351	0.3683673667
352	0.3682603146
353	0.3680943231
354	0.3679858236
355	0.367845421
356	0.3676981966
357	0.3675548233
358	0.3674136572
359	0.3672730117
360	0.3671278462
361	0.3669524191
362	0.366743927
363	0.3665716498
364	0.3664026973
365	0.3662512211
366	0.3660682465
367	0.3659267502
368	0.3658482626
369	0.3656910077
370	0.3655202255
371	0.365361449
372	0.3652355682
373	0.3650653196
374	0.3649346051
375	0.3647945038
376	0.3646672223
377	0.3645065326
378	0.3643402252
379	0.3641482316
380	0.3640487006
381	0.3638891692
382	0.3637597697
383	0.3636123987
384	0.3634533831
385	0.3633152999
386	0.3631527725
387	0.3630011545
388	0.3628782803
389	0.3626968717
390	0.3625421238
391	0.362391571
392	0.3622557789
393	0.3620953125
394	0.3619855172
395	0.3618526516
396	0.3616969195
397	0.3615403336
398	0.3613701074
399	0.3612377236
400	0.3611293871
401	0.3609760325
402	0.3608630372
403	0.3607013534
404	0.3605584342
405	0.3603851403
406	0.3602515493
407	0.3601488711
408	0.3600059506
409	0.3598823976
410	0.3597046711
411	0.3595547309
412	0.3594086628
413	0.359306333
414	0.3591310624
415	0.3590143572
416	0.3589226798
417	0.3587966563
418	0.3586321154
419	0.3585046126
420	0.3583979777
421	0.3582606357
422	0.3581164852
423	0.3579713624
424	0.3578255233
425	0.3576719548
426	0.3575623255
427	0.3574455825
428	0.3573119666
429	0.3571929443
430	0.3570712498
431	0.356928702
432	0.3567651023
433	0.3566318936
434	0.3564817474
435	0.3563591251
436	0.3562464518
437	0.3560759503
438	0.35595855
439	0.3558136467
440	0.3556668711
441	0.3555886595
442	0.3554222795
443	0.3553049037
444	0.3552195504
445	0.3550909436
446	0.3549191224
447	0.3547590914
448	0.3546557491
449	0.3545021252
450	0.3543854213
451	0.3542682975
452	0.354140227
453	0.3540554696
454	0.3539323413
455	0.3537771133
456	0.3536103806
457	0.3534871515
458	0.3533714088
459	0.3532273757
460	0.3530992355
461	0.3529227941
462	0.3527824013
463	0.3526364701
464	0.3525122587
465	0.3524006299
466	0.3522254578
467	0.3520872671
468	0.3519636479
469	0.3518830035
470	0.3517421057
471	0.3516024046
472	0.351493784
473	0.3513848206
474	0.3512468392
475	0.3510838479
476	0.350976578
477	0.3508381903
478	0.3507408627
479	0.3505774335
480	0.3504047533
481	0.3502222748
482	0.350105804
483	0.349960121
484	0.3498070594
485	0.3496875379
486	0.3495552294
487	0.3493807295
488	0.3492162039
489	0.3490683597
490	0.3489266485
491	0.348801774
492	0.348695239
493	0.3485668281
494	0.3484471391
495	0.3483187938
496	0.3481954524
497	0.3480437083
498	0.3479092316
499	0.3477769985
500	0.3476734682
501	0.3475396897
502	0.3473765165
503	0.3472289683
504	0.3471148993
505	0.3469841642
506	0.3468268149
507	0.3467019926
508	0.3465519722
509	0.3464771141
510	0.3463958883
511	0.3463409396
512	0.3462172817
513	0.3460832439
514	0.3459900768
515	0.3458761325
516	0.3457528297
517	0.3456224251
518	0.3455101133
519	0.3454258997
520	0.3452969484
521	0.3451506067
522	0.3450137559
523	0.3448464227
524	0.34473781
525	0.3446142334
526	0.3444684251
527	0.3443904086
528	0.3442703808
529	0.3441513008
530	0.3440074954
531	0.3438586101
532	0.3437102322
533	0.3436115105
534	0.3434801628
535	0.3433505549
536	0.343213715
537	0.3430510919
538	0.3429198852
539	0.3427718891
540	0.3426759607
541	0.3425430518
542	0.3424229675
543	0.3422771274
544	0.3421324757
545	0.342053015
546	0.3418841599
547	0.3417601249
548	0.3416446407
549	0.3415493164
550	0.3414039154
551	0.341271249
552	0.3411746297
553	0.3410313156
554	0.3409121522
555	0.3408013545
556	0.3406721875
557	0.3405327466
558	0.3404193067
559	0.3403007765
560	0.3402267972
561	0.3401534923
562	0.3400680068
563	0.3399393836
564	0.3397798004
565	0.339625776
566	0.3395572413
567	0.3394459642
568	0.3393311106
569	0.3392036657
570	0.3390609467
571	0.3389645103
572	0.3388466627
573	0.3386985493
574	0.3385868667
575	0.338462134
576	0.3383382114
577	0.33821209
578	0.3380901618
579	0.3379580445
580	0.3378434476
581	0.3376807484
582	0.3375662075
583	0.3374527895
584	0.3373282777
585	0.3372641795
586	0.3371686035
587	0.3370499793
588	0.3369351291
589	0.3367922755
590	0.3366852798
591	0.3365967481
592	0.336430566
593	0.336296959
594	0.336202647
595	0.3361273641
596	0.3360354935
597	0.3358815361
598	0.3357149062
599	0.3355683615
600	0.3354360815
601	0.335373224
602	0.3351972558
603	0.3350805642
604	0.334936392
605	0.3347823104
606	0.3346681443
607	0.3345259925
608	0.3343999425
609	0.334258283
610	0.3341729539
611	0.3341113018
612	0.3340090201
613	0.3338925204
614	0.3337436555
615	0.333635241
616	0.333600559
617	0.3335138227
618	0.3333988483
619	0.3333115775
620	0.3332122652
621	0.3331194056
622	0.3330186186
623	0.3329087493
624	0.3328456331
625	0.3327243718
626	0.3326326559
627	0.33257936
628	0.3324643502
629	0.3324326937
630	0.3323193913
631	0.3322240369
632	0.3321158549
633	0.3319717512
634	0.331803036
635	0.3316663226
636	0.3315367664
637	0.3314273779
638	0.3313317003
639	0.3311854065
640	0.3310699233
641	0.3309341467
642	0.3308271682
643	0.3306647863
644	0.3305546478
645	0.3304252664
646	0.3302508447
647	0.3301320252
648	0.330031465
649	0.3299283917
650	0.3298088073
651	0.3296625967
652	0.3295711675
653	0.329453446
654	0.3293536416
655	0.3292586437
656	0.3291498899
657	0.329018728
658	0.3289576434
659	0.3288437234
660	0.3287338814
661	0.3286097734
662	0.3285234821
663	0.3284866784
664	0.3283935085
665	0.3282966033
666	0.3281938178
667	0.3280758446
668	0.3279329143
669	0.3278057806
670	0.3277315399
671	0.3276369053
672	0.3274935357
673	0.3273567644
674	0.3272387826
675	0.3271517514
676	0.3270431336
677	0.3268995229
678	0.3268043657
679	0.3266906499
680	0.3266181253
681	0.3265275874
682	0.3264253488
683	0.3262970575
684	0.3261838798
685	0.3260557698
686	0.3259843908
687	0.3258583701
688	0.3257697022
689	0.3256439881
690	0.3255100857
691	0.3253910892
692	0.3252396908
693	0.3251084577
694	0.3249734496
695	0.3248558734
696	0.3246978809
697	0.3245829858
698	0.3244840506
699	0.3243920479
700	0.3243204476
701	0.324210949
702	0.3240823101
703	0.3240165395
704	0.3239216016
705	0.3238577515
706	0.3237228947
707	0.3235908713
708	0.3234930797
709	0.3234598863
710	0.3233176436
711	0.3231278992
712	0.3230502869
713	0.3229812881
714	0.3228495476
715	0.3227610998
716	0.3226548418
717	0.3225389528
718	0.322423194
719	0.3222809984
720	0.3221873274
721	0.3220645515
722	0.3219826833
723	0.3219029067
724	0.3218052288
725	0.3217091018
726	0.3216161154
727	0.321573662
728	0.321443548
729	0.3213711906
730	0.3213091706
731	0.321205871
732	0.321064815
733	0.321013159
734	0.3209574587
735	0.3208233765
736	0.3207141212
737	0.3206026359
738	0.3204862473
739	0.3203887962
740	0.3202619946
741	0.3201610362
742	0.3200373706
743	0.3200161095
744	0.3199024843
745	0.3198247777
746	0.3197363992
747	0.3196462976
748	0.3195803291
749	0.3194822752
750	0.3194090443
751	0.3193009315
